WDIR,WSPD,GST,WVHT,dts
260.0,2.91576,2.91576,,2023-06-09 17:30:00
260.0,2.91576,2.91576,,2023-06-09 17:24:00
270.0,2.91576,2.91576,,2023-06-09 17:18:00
280.0,2.91576,4.082064,,2023-06-09 17:12:00
280.0,2.91576,5.053984,,2023-06-09 17:06:00
280.0,4.082064,5.053984,,2023-06-09 17:00:00
280.0,4.082064,5.053984,,2023-06-09 16:54:00
280.0,4.082064,6.025904000000001,,2023-06-09 16:48:00
280.0,5.053984,5.053984,,2023-06-09 16:42:00
270.0,2.91576,4.082064,,2023-06-09 16:36:00
270.0,1.94384,2.91576,,2023-06-09 16:30:00
210.0,1.94384,1.94384,,2023-06-09 16:24:00
210.0,1.94384,1.94384,,2023-06-09 16:18:00
220.0,1.94384,1.94384,,2023-06-09 16:12:00
210.0,0.97192,1.94384,,2023-06-09 16:06:00
220.0,1.94384,1.94384,,2023-06-09 16:00:00
220.0,1.94384,1.94384,,2023-06-09 15:54:00
220.0,1.94384,1.94384,,2023-06-09 15:48:00
230.0,1.94384,1.94384,,2023-06-09 15:42:00
,0.0,1.94384,,2023-06-09 15:36:00
,0.0,0.97192,,2023-06-09 15:30:00
270.0,0.97192,1.94384,,2023-06-09 15:24:00
280.0,0.97192,0.97192,,2023-06-09 15:18:00
290.0,0.97192,0.97192,,2023-06-09 15:12:00
300.0,0.97192,1.94384,,2023-06-09 15:06:00
300.0,1.94384,1.94384,,2023-06-09 15:00:00
290.0,1.94384,1.94384,,2023-06-09 14:54:00
300.0,0.97192,0.97192,,2023-06-09 14:48:00
290.0,1.94384,1.94384,,2023-06-09 14:42:00
310.0,0.97192,1.94384,,2023-06-09 14:36:00
320.0,1.94384,1.94384,,2023-06-09 14:30:00
320.0,1.94384,1.94384,,2023-06-09 14:24:00
320.0,1.94384,2.91576,,2023-06-09 14:18:00
320.0,2.91576,2.91576,,2023-06-09 14:12:00
330.0,2.91576,2.91576,,2023-06-09 14:06:00
320.0,2.91576,2.91576,,2023-06-09 14:00:00
330.0,1.94384,1.94384,,2023-06-09 13:54:00
330.0,1.94384,1.94384,,2023-06-09 13:48:00
300.0,1.94384,1.94384,,2023-06-09 13:42:00
300.0,1.94384,1.94384,,2023-06-09 13:36:00
290.0,1.94384,1.94384,,2023-06-09 13:30:00
,0.0,0.97192,,2023-06-09 13:24:00
,0.0,0.97192,,2023-06-09 13:18:00
,0.0,0.0,,2023-06-09 13:12:00
,0.0,1.94384,,2023-06-09 13:06:00
240.0,0.97192,1.94384,,2023-06-09 13:00:00
,0.0,0.97192,,2023-06-09 12:54:00
,0.0,0.97192,,2023-06-09 12:48:00
,0.0,0.97192,,2023-06-09 12:42:00
,0.0,0.97192,,2023-06-09 12:36:00
330.0,0.97192,0.97192,,2023-06-09 12:30:00
300.0,0.97192,0.97192,,2023-06-09 12:24:00
,0.0,0.0,,2023-06-09 12:18:00
,0.0,0.0,,2023-06-09 12:12:00
,0.0,0.97192,,2023-06-09 12:06:00
,0.0,0.0,,2023-06-09 12:00:00
,0.0,0.0,,2023-06-09 11:54:00
,0.0,1.94384,,2023-06-09 11:48:00
340.0,0.97192,2.91576,,2023-06-09 11:42:00
310.0,0.97192,1.94384,,2023-06-09 11:36:00
,0.0,0.97192,,2023-06-09 11:30:00
50.0,0.97192,0.97192,,2023-06-09 11:24:00
,0.0,0.97192,,2023-06-09 11:18:00
,0.0,0.97192,,2023-06-09 11:12:00
40.0,0.97192,1.94384,,2023-06-09 11:06:00
70.0,1.94384,1.94384,,2023-06-09 11:00:00
70.0,0.97192,1.94384,,2023-06-09 10:54:00
80.0,1.94384,2.91576,,2023-06-09 10:48:00
80.0,2.91576,4.082064,,2023-06-09 10:42:00
60.0,2.91576,4.082064,,2023-06-09 10:36:00
80.0,2.91576,4.082064,,2023-06-09 10:30:00
70.0,1.94384,4.082064,,2023-06-09 10:24:00
80.0,4.082064,5.053984,,2023-06-09 10:18:00
80.0,4.082064,4.082064,,2023-06-09 10:12:00
90.0,2.91576,4.082064,,2023-06-09 10:06:00
90.0,1.94384,2.91576,,2023-06-09 10:00:00
60.0,0.97192,1.94384,,2023-06-09 09:54:00
60.0,1.94384,2.91576,,2023-06-09 09:48:00
50.0,1.94384,4.082064,,2023-06-09 09:42:00
70.0,2.91576,4.082064,,2023-06-09 09:36:00
70.0,1.94384,4.082064,,2023-06-09 09:30:00
80.0,2.91576,5.053984,,2023-06-09 09:24:00
80.0,4.082064,5.053984,,2023-06-09 09:18:00
80.0,4.082064,5.053984,,2023-06-09 09:12:00
80.0,4.082064,4.082064,,2023-06-09 09:06:00
60.0,1.94384,1.94384,,2023-06-09 09:00:00
,0.0,0.97192,,2023-06-09 08:54:00
,0.0,0.0,,2023-06-09 08:48:00
,0.0,0.0,,2023-06-09 08:42:00
,0.0,0.97192,,2023-06-09 08:36:00
,0.0,0.0,,2023-06-09 08:30:00
,0.0,0.97192,,2023-06-09 08:24:00
,0.0,0.0,,2023-06-09 08:18:00
,0.0,1.94384,,2023-06-09 08:12:00
330.0,1.94384,2.91576,,2023-06-09 08:06:00
330.0,1.94384,2.91576,,2023-06-09 08:00:00
330.0,2.91576,2.91576,,2023-06-09 07:54:00
340.0,2.91576,4.082064,,2023-06-09 07:48:00
330.0,2.91576,4.082064,,2023-06-09 07:42:00
330.0,1.94384,2.91576,,2023-06-09 07:36:00
310.0,0.97192,1.94384,,2023-06-09 07:30:00
50.0,0.97192,1.94384,,2023-06-09 07:24:00
60.0,1.94384,4.082064,,2023-06-09 07:18:00
70.0,2.91576,2.91576,,2023-06-09 07:12:00
60.0,2.91576,4.082064,,2023-06-09 07:06:00
60.0,2.91576,4.082064,,2023-06-09 07:00:00
60.0,2.91576,4.082064,,2023-06-09 06:54:00
50.0,4.082064,5.053984,,2023-06-09 06:48:00
60.0,4.082064,6.025904000000001,,2023-06-09 06:42:00
60.0,5.053984,6.025904000000001,,2023-06-09 06:36:00
60.0,4.082064,5.053984,,2023-06-09 06:30:00
60.0,5.053984,6.025904000000001,,2023-06-09 06:24:00
70.0,5.053984,6.025904000000001,,2023-06-09 06:18:00
60.0,5.053984,6.9978240000000005,,2023-06-09 06:12:00
60.0,4.082064,6.025904000000001,,2023-06-09 06:06:00
50.0,5.053984,6.9978240000000005,,2023-06-09 06:00:00
50.0,5.053984,6.025904000000001,,2023-06-09 05:54:00
50.0,5.053984,6.9978240000000005,,2023-06-09 05:48:00
50.0,5.053984,6.9978240000000005,,2023-06-09 05:42:00
60.0,5.053984,6.025904000000001,,2023-06-09 05:36:00
60.0,5.053984,7.9697439999999995,,2023-06-09 05:30:00
60.0,5.053984,6.9978240000000005,,2023-06-09 05:24:00
50.0,5.053984,6.9978240000000005,,2023-06-09 05:18:00
50.0,5.053984,6.025904000000001,,2023-06-09 05:12:00
50.0,5.053984,6.9978240000000005,,2023-06-09 05:06:00
50.0,6.025904000000001,7.9697439999999995,,2023-06-09 05:00:00
50.0,6.025904000000001,6.9978240000000005,,2023-06-09 04:54:00
50.0,5.053984,6.025904000000001,,2023-06-09 04:48:00
60.0,5.053984,6.025904000000001,,2023-06-09 04:42:00
60.0,6.025904000000001,7.9697439999999995,,2023-06-09 04:36:00
60.0,5.053984,6.025904000000001,,2023-06-09 04:30:00
60.0,4.082064,5.053984,,2023-06-09 04:24:00
30.0,5.053984,6.9978240000000005,,2023-06-09 04:18:00
50.0,2.91576,6.025904000000001,,2023-06-09 04:12:00
20.0,2.91576,6.025904000000001,,2023-06-09 04:06:00
350.0,6.025904000000001,6.9978240000000005,,2023-06-09 04:00:00
350.0,6.025904000000001,6.9978240000000005,,2023-06-09 03:54:00
360.0,6.025904000000001,6.025904000000001,,2023-06-09 03:48:00
350.0,5.053984,6.025904000000001,,2023-06-09 03:42:00
350.0,5.053984,6.025904000000001,,2023-06-09 03:36:00
350.0,6.025904000000001,6.025904000000001,,2023-06-09 03:30:00
340.0,6.025904000000001,6.9978240000000005,,2023-06-09 03:24:00
,,,,2023-06-09 03:18:00
,,,,2023-06-09 03:12:00
,,,,2023-06-09 03:06:00
350.0,6.025904000000001,6.025904000000001,,2023-06-09 03:00:00
340.0,5.053984,6.025904000000001,,2023-06-09 02:54:00
340.0,5.053984,5.053984,,2023-06-09 02:48:00
340.0,5.053984,5.053984,,2023-06-09 02:42:00
340.0,4.082064,5.053984,,2023-06-09 02:36:00
340.0,4.082064,5.053984,,2023-06-09 02:30:00
